mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2.8496251900990806,0.27503924636183413,1.0799806118011475,0.13597960473875753,12,10,50,200,"{'model__max_depth': 12, 'model__min_samples_leaf': 10, 'model__min_samples_split': 50, 'model__n_estimators': 200}",0.9138240601193057,0.9227629955779503,0.9221713432349765,0.9195861329774108,0.00408155410273426,8
5.247952699661255,0.15055723937413604,1.4932127793629963,0.41442446993963433,12,10,50,400,"{'model__max_depth': 12, 'model__min_samples_leaf': 10, 'model__min_samples_split': 50, 'model__n_estimators': 400}",0.9144989099094853,0.9229925039647425,0.9222337410585406,0.9199083849775894,0.003837598699819744,7
3.1896605491638184,0.11809069349006325,1.7870184580485027,0.45446031639013335,12,10,100,200,"{'model__max_depth': 12, 'model__min_samples_leaf': 10, 'model__min_samples_split': 100, 'model__n_estimators': 200}",0.9118830494232338,0.9210628646362804,0.9201572306300813,0.9177010482298652,0.004130526667288224,16
4.418354749679565,0.35213946770586874,1.4148236910502117,0.34486809315819034,12,10,100,400,"{'model__max_depth': 12, 'model__min_samples_leaf': 10, 'model__min_samples_split': 100, 'model__n_estimators': 400}",0.9111757949514994,0.9206714071643779,0.9196200150824454,0.9171557390661075,0.004250188626234953,20
3.2946699460347495,0.42913744140559257,1.484655221303304,0.22902071195654614,12,20,20,200,"{'model__max_depth': 12, 'model__min_samples_leaf': 20, 'model__min_samples_split': 20, 'model__n_estimators': 200}",0.9121177603965144,0.9210137373552993,0.9204124674417071,0.9178479883978404,0.004059311607291102,15
4.954366286595662,0.37045369602371125,1.4653323491414387,0.2800913171861719,12,20,20,400,"{'model__max_depth': 12, 'model__min_samples_leaf': 20, 'model__min_samples_split': 20, 'model__n_estimators': 400}",0.9118745766395244,0.920951009026785,0.920201949070302,0.9176758449122038,0.004113498744645375,17
3.3460183143615723,0.23934226875807268,1.2083232402801514,0.6077958616826838,12,20,50,200,"{'model__max_depth': 12, 'model__min_samples_leaf': 20, 'model__min_samples_split': 50, 'model__n_estimators': 200}",0.9109058550354274,0.9207272978077936,0.9199970762162673,0.9172100763531628,0.004467714606703247,19
4.807358582814534,0.6909432410760653,1.7884889443715413,0.7170077213131277,12,20,50,400,"{'model__max_depth': 12, 'model__min_samples_leaf': 20, 'model__min_samples_split': 50, 'model__n_estimators': 400}",0.911211321184947,0.920864497445753,0.9198219166115487,0.9172992450807497,0.004325802948183975,18
3.115375200907389,0.1707409432814392,1.384968678156535,0.34821562982187615,12,20,100,200,"{'model__max_depth': 12, 'model__min_samples_leaf': 20, 'model__min_samples_split': 100, 'model__n_estimators': 200}",0.9091048682385513,0.9193874088190976,0.9187003900161106,0.9157308890245867,0.004693691674410271,23
4.790339469909668,0.5667412392494832,1.1916552384694417,0.4098801410023301,12,20,100,400,"{'model__max_depth': 12, 'model__min_samples_leaf': 20, 'model__min_samples_split': 100, 'model__n_estimators': 400}",0.9089351152737088,0.919266114231259,0.9184250967611964,0.9155421087553881,0.004684449433779226,24
3.277005434036255,0.2168075805742906,0.6626789569854736,0.17182821576344465,12,50,20,200,"{'model__max_depth': 12, 'model__min_samples_leaf': 50, 'model__min_samples_split': 20, 'model__n_estimators': 200}",0.9026396883323675,0.9142591449950449,0.9137519454749989,0.9102169262674705,0.005361915943774573,40
4.189986944198608,0.5285409108786392,1.5173483689626057,0.2392037002676975,12,50,20,400,"{'model__max_depth': 12, 'model__min_samples_leaf': 50, 'model__min_samples_split': 20, 'model__n_estimators': 400}",0.9028289138352085,0.9140285960909549,0.9135014627832637,0.9101196575698091,0.005159823997885476,43
2.8303271929423013,0.4353633313916249,1.2126755714416504,0.15651839844642162,12,50,50,200,"{'model__max_depth': 12, 'model__min_samples_leaf': 50, 'model__min_samples_split': 50, 'model__n_estimators': 200}",0.9026396883323675,0.9142591449950449,0.9137519454749989,0.9102169262674705,0.005361915943774573,40
4.3486381371816,0.22853755324619793,1.0651784737904866,0.1870049570071533,12,50,50,400,"{'model__max_depth': 12, 'model__min_samples_leaf': 50, 'model__min_samples_split': 50, 'model__n_estimators': 400}",0.9028289138352085,0.9140285960909549,0.9135014627832637,0.9101196575698091,0.005159823997885476,43
2.3893438975016275,0.028151528656507694,1.5253469149271648,0.09799033972853469,12,50,100,200,"{'model__max_depth': 12, 'model__min_samples_leaf': 50, 'model__min_samples_split': 100, 'model__n_estimators': 200}",0.9026396883323675,0.9142591449950449,0.9137519454749989,0.9102169262674705,0.005361915943774573,40
4.5395017464955645,0.31452511513365067,1.2176777521769206,0.3226365358425688,12,50,100,400,"{'model__max_depth': 12, 'model__min_samples_leaf': 50, 'model__min_samples_split': 100, 'model__n_estimators': 400}",0.9028289138352085,0.9140285960909549,0.9135014627832637,0.9101196575698091,0.005159823997885476,43
