mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__min_samples_leaf,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
5.422383705774943,0.40556070614166617,0.053670644760131836,0.003853562058213478,0.03,2,50,200,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__min_samples_leaf': 50, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.8990087288996098,0.9091298406536945,0.9071671180109239,0.9051018958547427,0.004382395288762678,148
6.40528416633606,0.255836831820367,0.06630587577819824,0.0073759398332444905,0.03,2,50,200,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__min_samples_leaf': 50, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.8998626963103107,0.9092407300685567,0.9078145697135227,0.9056393320307966,0.004125984611779652,143
7.60699446996053,0.02252672197914523,0.0700225830078125,0.0032874551233280694,0.03,2,50,300,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__min_samples_leaf': 50, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.9059981808784732,0.9142285983800928,0.9140388268971464,0.9114218687185708,0.0038359089009040396,135
9.893996238708496,0.28283310884740764,0.07668018341064453,0.005570705904899829,0.03,2,50,300,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__min_samples_leaf': 50, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.9058675216349559,0.9135805047489951,0.9147438480202953,0.9113972914680821,0.003938875279165734,136
3.7957133452097573,0.38969256369425637,0.05649153391520182,0.0075861696719557534,0.03,3,10,100,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_samples_leaf': 10, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.9011108711314868,0.9098914993155626,0.9082199327173183,0.9064074343881225,0.0038068990418054947,139
4.439671357472737,0.0672093073085603,0.05567463239034017,0.0018965977063994852,0.03,3,10,100,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_samples_leaf': 10, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.8987398295008356,0.9087763620631555,0.9075717381834864,0.9050293099158258,0.00447444243012662,150
7.606653054555257,0.24026310942179938,0.07033499081929524,0.015561030019934235,0.03,3,10,200,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_samples_leaf': 10, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.9145030719786759,0.9205918819137728,0.9210817583825535,0.9187255707583342,0.0029924479050689613,98
9.29095713297526,0.27659752480629074,0.07033085823059082,0.01102385572990645,0.03,3,10,200,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_samples_leaf': 10, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.9147896601715099,0.9187717198695549,0.9211560415058436,0.9182391405156362,0.0026262055517042963,101
11.276932636896769,0.42783062745251094,0.07632589340209961,0.0004807793656889079,0.03,3,10,300,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_samples_leaf': 10, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.9194254620231254,0.923551930657549,0.9285577604767432,0.9238450510524725,0.0037340021813890983,84
13.420653661092123,0.708390218475192,0.08903098106384277,0.008986285660788539,0.03,3,10,300,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_samples_leaf': 10, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.9196618080950165,0.922334376773989,0.9270014547606865,0.9229992132098973,0.003033052248050211,89
3.7583332856496177,0.07190790576436046,0.0570069948832194,0.0021791828913123017,0.03,3,20,100,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_samples_leaf': 20, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.9009442397185372,0.9093772608025391,0.9087378346528987,0.9063531117246583,0.003833548289697298,141
4.6738340854644775,0.49102526385443446,0.05034947395324707,0.0030846830594571466,0.03,3,20,100,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_samples_leaf': 20, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.8989813781592151,0.9082409415908588,0.9079554847984045,0.9050592681828261,0.004299296977369088,149
7.41034460067749,0.2646124727426262,0.07268301645914714,0.008576981841644224,0.03,3,20,200,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_samples_leaf': 20, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.9147141483447674,0.9207439460845557,0.9209328950034794,0.9187969964776008,0.0028880399443598115,97
8.759980837504068,0.3942237426085323,0.06433439254760742,0.000947370696970294,0.03,3,20,200,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_samples_leaf': 20, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.9152648792858722,0.9181087617056338,0.9212695461182314,0.9182143957032457,0.0024525326838457386,102
10.590697209040323,0.41649814147305386,0.0946822961171468,0.015286658625089414,0.03,3,20,300,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_samples_leaf': 20, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.9193468286444898,0.9240579936775197,0.9283852750644629,0.9239300324621574,0.003691039508156551,82
12.84433356920878,0.3219774935226399,0.07600259780883789,0.0014263006861514472,0.03,3,20,300,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_samples_leaf': 20, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.9196379505198351,0.921822962522202,0.9277221496228497,0.9230610208882957,0.003414494610986753,88
3.7466763655344644,0.06628993265084136,0.05632630983988444,0.006807402986226426,0.03,3,50,100,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_samples_leaf': 50, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.9012051122695867,0.9093054651090025,0.908702847301829,0.9064044748934728,0.003684726658914978,140
4.438763936360677,0.03445370926617392,0.05094599723815918,0.0014682846837433296,0.03,3,50,100,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_samples_leaf': 50, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.8992047177648856,0.9084659162951401,0.9079710842542956,0.9052139061047738,0.0042539372402005185,147
6.999329964319865,0.3032184977933491,0.06168492635091146,0.005233627452898408,0.03,3,50,200,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_samples_leaf': 50, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.9143219476462235,0.9195174734813019,0.9206106548146458,0.918150025314057,0.0027434036439086817,103
8.475674788157145,0.27920979679205793,0.06833275159200032,0.014703240628750934,0.03,3,50,200,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_samples_leaf': 50, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.9137728518037294,0.9178961988862601,0.9205273834334373,0.9173988113744755,0.002779864521499886,106
10.409865379333496,0.4219726189414678,0.0843655268351237,0.0012460817476731957,0.03,3,50,300,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_samples_leaf': 50, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.9183895527306667,0.9234115351450326,0.9278835668497596,0.9232282182418197,0.003878081986294816,87
12.257739226023356,0.6131131238821059,0.08130025863647461,0.01086686674593946,0.03,3,50,300,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_samples_leaf': 50, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.9185322522457708,0.9226932809190086,0.9269388340877528,0.9227214557508442,0.00343203049057424,90
4.1616300741831465,0.06975924231169192,0.052442073822021484,0.0039173073873368216,0.03,4,10,100,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 4, 'model__min_samples_leaf': 10, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.9121666647095032,0.9183365606711515,0.9188970917265834,0.9164667723690795,0.003049234131054878,109
5.0332934856414795,0.11472777739986761,0.05928762753804525,0.008380827044153584,0.03,4,10,100,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 4, 'model__min_samples_leaf': 10, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.9115868736067287,0.9177837486954515,0.9190357040346433,0.9161354421122745,0.003256680787761771,110
8.954004764556885,0.36297183336894656,0.07035295168558757,0.003096025989545758,0.03,4,10,200,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 4, 'model__min_samples_leaf': 10, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.9227269490858536,0.9282892572683477,0.931847537157904,0.9276212478373683,0.003753306022243583,59
10.540278752644857,0.5827036319953344,0.0791780948638916,0.014567131074513557,0.03,4,10,200,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 4, 'model__min_samples_leaf': 10, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.9226098908898697,0.9283693027776014,0.9313598684535026,0.9274463540403245,0.0036312901857558995,61
